0	220556
1	219993
2	142585
3	120198
4	98901
5	91680
6	78846
7	49873
8	46332
9	46293
10	41092
11	40639
12	39137
13	38818
14	38442
15	32530
16	31906
17	29501
18	29223
19	27527
20	27183
21	26271
22	22678
23	22163
24	22035
25	21389
26	20529
27	20434
28	20424
29	20163
30	20101
31	19879
32	18796
33	18444
34	17299
35	16800
36	15744
37	15692
38	15662
39	15613
40	14764
41	14554
42	14197
43	13745
44	13534
45	13406
46	13077
47	12666
48	12547
49	12515
50	12112
51	11766
52	11698
53	11659
54	11569
55	11524
56	11489
57	11333
58	11233
59	11177
60	11131
61	11009
62	10846
63	10756
64	10313
65	10207
66	9986
67	9930
68	9900
69	9874
70	9810
71	9788
72	9544
73	9429
74	9231
75	9149
76	9044
77	9023
78	8537
79	8390
80	8352
81	8267
82	8212
83	8199
84	7882
85	7853
86	7770
87	7767
88	7754
89	7678
90	7544
91	7528
92	7433
93	7383
94	7370
95	7348
96	7246
97	6930
98	6840
99	6792
100	6763
101	6737
102	6731
103	6708
104	6547
105	6541
106	6538
107	6532
108	6531
109	6531
110	6416
111	6300
112	6279
113	6236
114	6227
115	6169
116	6137
117	6093
118	6077
119	6028
120	6002
121	5979
122	5944
123	5933
124	5927
125	5842
126	5834
127	5695
128	5565
129	5460
130	5455
131	5432
132	5383
133	5353
134	5347
135	5255
136	5201
137	5197
138	5140
139	5139
140	5131
141	5128
142	5056
143	4982
144	4954
145	4868
146	4798
147	4795
148	4762
149	4732
150	4663
151	4660
152	4547
153	4426
154	4384
155	4370
156	4343
157	4341
158	4333
159	4308
160	4246
161	4242
162	4201
163	4119
164	4079
165	4075
166	4072
167	4051
168	4021
169	3998
170	3989
171	3943
172	3942
173	3938
174	3935
175	3917
176	3912
177	3900
178	3872
179	3864
180	3846
181	3842
182	3797
183	3787
184	3700
185	3645
186	3642
187	3640
188	3627
189	3620
190	3616
191	3616
192	3615
193	3560
194	3556
195	3537
196	3514
197	3456
198	3440
199	3422
200	3399
201	3371
202	3368
203	3367
204	3337
205	3302
206	3289
207	3287
208	3267
209	3260
210	3242
211	3236
212	3234
213	3212
214	3208
215	3203
216	3174
217	3166
218	3161
219	3149
220	3142
221	3142
222	3119
223	3113
224	3099
225	3098
226	3087
227	3086
228	3074
229	3072
230	3030
231	3023
232	2995
233	2983
234	2977
235	2970
236	2964
237	2940
238	2936
239	2935
240	2921
241	2903
242	2898
243	2869
244	2864
245	2863
246	2855
247	2854
248	2853
249	2830
250	2815
251	2808
252	2782
253	2766
254	2758
255	2747
256	2738
257	2732
258	2714
259	2693
260	2664
261	2639
262	2633
263	2628
264	2607
265	2606
266	2592
267	2571
268	2569
269	2568
270	2558
271	2548
272	2546
273	2545
274	2543
275	2542
276	2535
277	2520
278	2512
279	2508
280	2507
281	2504
282	2470
283	2462
284	2442
285	2441
286	2433
287	2429
288	2428
289	2428
290	2424
291	2417
292	2414
293	2394
294	2392
295	2380
296	2380
297	2376
298	2374
299	2374
300	2365
301	2363
302	2345
303	2337
304	2337
305	2326
306	2326
307	2324
308	2321
309	2318
310	2317
311	2304
312	2298
313	2289
314	2287
315	2280
316	2269
317	2250
318	2245
319	2243
320	2241
321	2237
322	2233
323	2220
324	2218
325	2213
326	2212
327	2208
328	2187
329	2184
330	2164
331	2158
332	2152
333	2146
334	2141
335	2131
336	2122
337	2118
338	2110
339	2084
340	2083
341	2082
342	2080
343	2070
344	2065
345	2057
346	2037
347	2037
348	2022
349	2022
350	2005
351	2002
352	1999
353	1990
354	1984
355	1959
356	1957
357	1936
358	1934
359	1931
360	1928
361	1925
362	1921
363	1913
364	1910
365	1909
366	1901
367	1901
368	1881
369	1876
370	1873
371	1871
372	1869
373	1846
374	1830
375	1829
376	1827
377	1822
378	1820
379	1816
380	1808
381	1803
382	1797
383	1791
384	1785
385	1785
386	1782
387	1781
388	1775
389	1773
390	1770
391	1765
392	1746
393	1739
394	1738
395	1735
396	1715
397	1711
398	1690
399	1684
400	1684
401	1680
402	1675
403	1673
404	1669
405	1668
406	1659
407	1651
408	1648
409	1642
410	1638
411	1637
412	1632
413	1622
414	1621
415	1615
416	1614
417	1613
